gg01_motion,X,Y,Z,F,M,comment
,,,,,,; $AA_IW[<axis>] / $AA_IM[<axis>]: actual work / machine position of an
,,,,,,"; axis, served from the interpreted axis state. The classic use is a layer"
,,,,,,; loop that repeats until the part height is reached:
G1,0.000,0.000,0.000,1000.000,,
G1,10.000,0.000,0.000,1000.000,,
G1,10.000,0.000,2.000,1000.000,,
G1,20.000,0.000,2.000,1000.000,,
G1,20.000,0.000,4.000,1000.000,,
G1,30.000,0.000,4.000,1000.000,,
G1,30.000,0.000,6.000,1000.000,,
G1,40.000,0.000,6.000,1000.000,,
G1,40.000,0.000,8.000,1000.000,,
G1,50.000,0.000,8.000,1000.000,,
G1,50.000,0.000,10.000,1000.000,,
G1,50.000,0.000,10.000,1000.000,,; $AA_IW is the work coordinate; $AA_IM includes the active translation:
G1,50.000,0.000,10.000,1000.000,,; 10 (work)
G1,50.000,0.000,10.000,1000.000,,; 110 (machine)
G1,50.000,100.000,10.000,1000.000,,
G1,50.000,100.000,10.000,1000.000,M30,
